state i bits,state j bits,eps,nsteps,nsteps_eq,total_iter
0000000000,0000000001,3.0,600,400,80
1000000000,1000010000,3.0,600,400,80
0000100100,0000100110,3.0,600,300,60
1000000110,1010000110,3.0,1500,700,100
0100101100,1100101100,3.0,600,300,60
0011110010,0011110110,3.0,1500,700,100
0011111010,0111111010,3.0,750,400,80
0110110111,0111110111,3.0,700,400,80
1111001111,1111101111,3.0,600,400,60
1111110111,1111111111,3.0,600,400,60
0000000000,0000000001,4.0,1100,800,50
1000000000,1000010000,4.0,1100,800,50
0000100100,0000100110,4.0,800,600,60
1000000110,1010000110,4.0,2200,1600,60
0100101100,1100101100,4.0,1000,700,60
0011110010,0011110110,4.0,1600,1000,100
0011111010,0111111010,4.0,1000,700,60
0110110111,0111110111,4.0,800,600,80
1111001111,1111101111,4.0,800,600,60
1111110111,1111111111,4.0,1300,1000,50
0000000000,0000000001,5.0,1300,1000,50
1000000000,1000010000,5.0,1200,900,50
0000100100,0000100110,5.0,900,600,60
1000000110,1010000110,5.0,3000,2000,40
0100101100,1100101100,5.0,1000,700,60
0011110010,0011110110,5.0,3000,2000,40
0011111010,0111111010,5.0,1100,800,60
0110110111,0111110111,5.0,800,600,80
1111001111,1111101111,5.0,1000,700,60
1111110111,1111111111,5.0,1400,1100,50
